Student_Id,Gender,Python_Marks,DS_Marks,DA_Marks
ZS_01,Male,67,77,80
ZS_02,Male,89,88,90
ZS_03,Male,55,99,100
ZS_04,Male,90,66,78
ZS_05,Male,87,76,39
ZS_06,Male,,44,48
ZS_07,Male,39,45,58
ZS_08,Male,69,49,69
ZS_09,Male,78,89,29
ZS_10,Male,78,67,49
ZS_11,Male,49,39,59
ZS_12,Male,90,87,60
ZS_07,Male,39,,58
ZS_13,Female,80,77,59
ZS_14,Female,78,78,77
ZS_15,Female,89,89,88
ZS_16,Female,60,89,99
ZS_17,Female,90,100,
ZS_18,Female,61,90,55
ZS_19,Female,98,87,44
ZS_07,Male,39,45,58
ZS_20,Female,78,59,
ZS_21,Female,67,39,57
ZS_22,Female,80,89,89
ZS_08,Male,69,,69
ZS_23,Female,90,78,89
ZS_24,Female,100,90,90
ZS_25,Male,,49,98
ZS_26,Female,39,90,97
ZS_27,Male,48,80,66
ZS_07,Male,39,45,58
ZS_28,Female,58,78,69
ZS_29,Male,78,78,98
ZS_30,Male,29,60,89
ZS_31,Female,49,90,87
ZS_13,Female,80,77,59
ZS_32,Male,59,61,78
ZS_33,Female,67,98,67
ZS_34,Male,59,77,86
ZS_35,Male,77,56,78
ZS_36,Male,88,89,89
ZS_37,Female,99,89,78
ZS_03,Male,55,99,100
ZS_04,Male,90,66,78
ZS_38,Female,66,67,97
ZS_39,Male,,45,95
ZS_40,Female,44,67,67
ZS_41,Female,45,78,43
ZS_42,Male,,67,56
ZS_15,Female,89,89,88
ZS_16,Female,60,,99
ZS_43,Male,89,89,67
ZS_44,Male,67,90,78
ZS_45,Female,39,,89
ZS_46,Female,67,18,90
ZS_47,Female,77,45,
