Student_Id,Python_Marks,DS_Marks,DA_Marks
S_101,67,77,80
S_102,89,88,90
S_103,100,99,100
S_104,90,66,78
S_105,87,55,39
S_106,59,44,48
S_107,39,45,58
S_108,69,49,69
S_109,78,89,29
S_110,78,67,49
S_111,49,39,59
S_112,90,67,60
S_113,80,77,59
S_114,78,78,77
S_115,89,89,88
S_116,60,89,99
S_117,90,100,66
S_118,61,90,55
S_119,98,87,44
S_120,76,59,56
S_121,67,39,57
S_122,80,69,89
S_123,90,78,89
S_124,100,78,90
S_125,78,49,98
S_126,39,90,97
S_127,48,80,66
S_128,58,78,69
S_129,69,89,98
S_130,29,60,89
S_131,49,90,87
S_132,59,61,78
S_133,60,98,67
S_134,59,77,86
S_135,77,56,78
S_136,88,89,89
S_137,99,89,90
S_138,66,67,97
S_139,55,45,95
S_140,44,67,67
S_141,45,78,43
S_142,49,56,56
S_143,89,89,67
S_144,67,90,78
S_145,39,100,89
S_146,67,18,90
S_147,77,45,67
S_148,78,67,44
S_149,89,80,56
